OO,ÖÜËÄ, 25 3ÔÂ 2021 20:36:47 CST
Method,BRANCH,CONTROL,LOC
"MainClass.main(String[])",0,11,71
"Poly.derivative()",0,1,5
"Poly.getPoly()",0,0,3
"Poly.merge()",0,2,9
"Poly.mergeOp()",0,2,10
"Poly.print()",0,9,34
"Poly.sort()",0,0,8
"Poly.sortFrist()",2,6,15
"Power.Power(String,BigInteger,BigInteger)",0,0,5
"Power.derivative()",0,1,8
"Power.getCoef()",0,0,3
"Power.getCoefop()",0,1,7
"Power.getIndex()",0,0,3
"Power.getOp()",0,0,3
"Power.merge(Power)",0,0,3
"Power.setCoef(BigInteger)",0,0,3
"Power.setOp(String)",0,0,3

Class,LOC,NAAC,NOAC,NOOC
"MainClass",87,13,1,0
"Poly",87,1,7,0
"Power",43,3,8,0

Package,C,LOC,METH
"",4,226,18

